source,excerpt,place,agent,excerptStarts,excerptEnds,sourceSize,placeInSource,agentInSource,placeInExcerpt,agentInExcerpt,placeDistanceFromExcerpt,agentDistanceFromExcerpt
westminsterpilgr00briduoft,1432795431094,"http://dbpedia.org/resource/Westminster_Abbey","",146203,147712,663181,154,0,0,0,-1173793,-1
reminiscencesofm01kellrich,1435248772832,"http://dbpedia.org/resource/London","",474122,475028,501477,41,0,0,0,-527362,-1
cu31924022334563,1438610692536,"http://dbpedia.org/resource/Her_Majesty's_Theatre","",108268,109738,827587,36,0,0,0,-1538608,-1
musicallettersf00unkngoog,1461670707714,"http://dbpedia.org/resource/London","",535735,535838,571646,48,0,0,0,-600384,-1
reminiscencesofm01kellrich,1434304562715,"http://dbpedia.org/resource/London","",449617,451673,501477,41,0,0,0,-550717,-1
memoriesofmusici00ganzuoft,1436164091169,"","",67288,67688,492418,0,0,0,0,-1,-1
recentmusicmusic00mosc,1430310307659,"http://dbpedia.org/resource/Manchester","",517164,517516,968055,3,0,0,0,-516671,-1
thirtyyearsofmus00kleiuoft,1438970972052,"http://dbpedia.org/resource/London","",69901,71312,565930,409,0,0,0,-1057917,-1
thirtyyearsofmus00kleiuoft,1438948246082,"","",39985,42560,565930,0,0,0,0,-1,-1
thirtyyearsofmus00klei,1438530429201,"","",438445,438969,578001,0,0,0,0,-1,-1
musicallettersf00unkngoog,1448922776454,"","",380731,381579,571646,0,0,0,0,-1,-1
musicallettersf00unkngoog,1448396898923,"","",302722,302825,571646,0,0,0,0,-1,-1
autobiographycor01delauoft,1444928055871,"http://dbpedia.org/resource/London","",24096,24657,988508,135,0,0,0,-1949442,-1
memoriesofmusici00ganzuoft,1436192694272,"http://dbpedia.org/resource/Hanover_Square_Rooms","",135876,136732,492418,2,0,0,0,-595105,-1
cu31924022334563,1438682217043,"http://dbpedia.org/resource/Her_Majesty's_Theatre","",275034,278634,827587,36,0,0,0,-1369712,-1
reminiscencesofm01kellrich,1428167038498,"http://dbpedia.org/resource/Florence","",170602,172233,501477,33,0,1,0,0,-1
reminiscencesofm02kellrich,1437327922489,"http://dbpedia.org/resource/Drury_Lane","",311935,312190,520572,21,0,0,0,-623964,-1
thirtyyearsofmus00klei,1438591711956,"http://dbpedia.org/resource/Covent_Garden","",482503,483088,578001,54,0,1,0,0,-1
westminsterpilgr00briduoft,1432979435232,"http://dbpedia.org/resource/Westminster_Abbey","",384507,385449,663181,154,0,0,0,-936056,-1
musicallettersf00unkngoog,1448287094676,"http://dbpedia.org/resource/Leipzig","",113323,113870,571646,34,0,0,0,-991116,-1
recentmusicmusic00mosc,1431446268360,"http://dbpedia.org/resource/London","",670256,670508,968055,220,0,0,0,-1236750,-1
recentmusicmusic00mosc,1429102663064,"http://dbpedia.org/resource/Berlin","",159583,159926,968055,67,0,0,0,-1745778,-1
musicallettersf00unkngoog,1448394636895,"http://dbpedia.org/resource/London","",292278,293965,571646,48,0,0,0,-842257,-1
musicallettersf00unkngoog,1448357582358,"","",234204,234403,571646,0,0,0,0,-1,-1
