 "id" , "src" , "title" ,
 "830141874.txt" , "http://data.open.ac.uk/red/document/524198290-iii-163" , "Letters of Arnold Bennett Vol.III 1916 -1931" ,
 "1463142463.txt" , "http://data.open.ac.uk/red/document/398377439-1-121" , "The Letters of Robert Louis Stevenson" ,
 "794361999.txt" , "http://data.open.ac.uk/red/document/1017630223-7-65" , "The diary of Samuel Pepys" ,
 "1902334801.txt" , "http://data.open.ac.uk/red/document/359795256-262" , "Correspondence of Ford Madox Ford and Stella Bowen, The" ,
 "1219803014.txt" , "http://data.open.ac.uk/red/document/941555690-16" , "Undertones of War" ,
 "186624419.txt" , "http://data.open.ac.uk/red/document/1773092175-135" , "The War Diary of the Master of Belhaven, 1914-1918" ,
 "2126374616.txt" , "http://data.open.ac.uk/red/document/2045927088-1-208" , "Extracts of the Journals and Correspondence of Miss Berry, from the year 1783 to 1852" ,
 "326196689.txt" , "http://data.open.ac.uk/red/document/31024094-i-312-13" , "The Journals of Mary Shelley 1814-1844" ,
 "866342641.txt" , "http://data.open.ac.uk/red/document/1802612152-230-31" , "Marginalia: Readers Writing in Books" ,
 "1677431324.txt" , "http://data.open.ac.uk/red/document/489464691-158" , "The Diary of Robert Sharp of South Cave" ,
 "1058170530.txt" , "http://data.open.ac.uk/red/document/444157387-2-211_n1" , "Alfred Lord Tennyson: A Memoir by His Son" ,
 "1591654261.txt" , "http://data.open.ac.uk/red/document/2045927088-3-34" , "Extracts of the Journals and Correspondence of Miss Berry from the Year 1783 to 1852" ,
 "1300117783.txt" , "http://data.open.ac.uk/red/document/1139772816-7-443" , "The Collected Letters of Joseph Conrad Volume 7, 1920-1922" ,
 "1502895802.txt" , "http://data.open.ac.uk/red/document/31024094-i-226-7" , "The Journals of Mary Shelley 1814-1844" ,
 "1098089677.txt" , "http://data.open.ac.uk/red/document/1766411795-77" , "Wordsworth's Reading 1770-1799" ,
 "28124169.txt" , "http://data.open.ac.uk/red/document/1017630223-4-329-330" , "The diary of Samuel Pepys" ,
 "1832695346.txt" , "http://data.open.ac.uk/red/document/398377439-3-133" , "The Letters of Robert Louis Stevenson" ,
 "755533611.txt" , "http://data.open.ac.uk/red/document/1826817471-123" , "The Journals of Claire Clairmont" ,
 "678196784.txt" , "http://data.open.ac.uk/red/document/2004106248-i-214" , "Memoirs of Laetitia Pilkington" ,
 "1808130929.txt" , "http://data.open.ac.uk/red/document/1591664368-13-14" , "Wordsworth's Reading 1800-1815" ,
 "1314324722.txt" , "http://data.open.ac.uk/red/document/1666441868-i-462" , "Thraliana" ,
 "32106622.txt" , "http://data.open.ac.uk/red/document/0" , 												 ,
 "32106622.txt" , "http://data.open.ac.uk/red/document/0" , 																								 ,
 "32106622.txt" , "http://data.open.ac.uk/red/document/0" , 																 ,
 "32106622.txt" , "http://data.open.ac.uk/red/document/0" , 				 ,
 "32106622.txt" , "http://data.open.ac.uk/red/document/0" , 								 ,
 "178591676.txt" , "http://data.open.ac.uk/red/document/1425594258-42" , "Elizabeth Bowen: Portrait of a Writer" ,
 "758806225.txt" , "http://data.open.ac.uk/red/document/2046536710-74" , "The Diary and Letters of a World War I Fighter Pilot" ,
 "1502516431.txt" , "http://data.open.ac.uk/red/document/988427687-82" , "Father and Son: a study of two temperments" ,
 "1568891517.txt" , "http://data.open.ac.uk/red/document/1425159857-8-16" , "Byron's Letters and Journals" ,
 "1596085103.txt" , "http://data.open.ac.uk/red/document/1017630223-8-433" , "The diary of Samuel Pepys" ,
 "233294772.txt" , "http://data.open.ac.uk/red/document/1017630223-8-215" , "The diary of Samuel Pepys" ,
 "1272962840.txt" , "http://data.open.ac.uk/red/document/1176008983-82" , "Life and Yesterday" ,
 "1116056160.txt" , "http://data.open.ac.uk/red/document/341169331-2-296" , "The Collected Letters of Joseph Conrad Volume 2, 1898-1902" ,
 "2065261348.txt" , "http://data.open.ac.uk/red/document/1591664368-130" , "Wordsworth's Reading 1800-1815" ,
 "1390516796.txt" , "http://data.open.ac.uk/red/document/1713691467-2-384_n1" , "Henry James: Letters" ,
 "124435369.txt" , "http://data.open.ac.uk/red/document/2045927088-2-493-94" , "Extracts of the Journals and Correspondence of Miss Berry From the Year 1783 to 1852" ,
 "1223577292.txt" , "http://data.open.ac.uk/red/document/1038308061-12" , "				The Diaries of Anne Lister 1791-1840" ,
 "1512288905.txt" , "http://data.open.ac.uk/red/document/31024094-i-76" , "The Journals of Mary Shelley 1814-1844" ,
 "2013740023.txt" , "http://data.open.ac.uk/red/document/1017630223-1-56" , "The diary of Samuel Pepys" ,
 "983773724.txt" , "http://data.open.ac.uk/red/document/1357827945-199-200" , "Jane Austen's Letters" ,
 "630145947.txt" , "http://data.open.ac.uk/red/document/359795256-356" , "Correspondence of Ford Madox Ford and Stella Bowen, The" ,
 "1109143300.txt" , "http://data.open.ac.uk/red/document/2134337740-2-146-147" , "A Publisher and His Friends: Memoir and Correspondence of the Late John Murray" ,
 "2137794265.txt" , "http://data.open.ac.uk/red/document/341169331-2-425" , "The Collected Letters of Joseph Conrad Volume 2, 1898-1902" ,
 "1046835991.txt" , "http://data.open.ac.uk/red/document/940024742-247" , "The Woman Reader: 1837-1914" ,
 "767370779.txt" , "http://data.open.ac.uk/red/document/578877973-7-431-5" , "The Works of Jane Austen (Minor Works)" ,
 "852256286.txt" , "http://data.open.ac.uk/red/document/9962955-185" , "A Soldier's Diary of the Great War" ,
 "1740794016.txt" , "http://data.open.ac.uk/red/document/1724137216-2-111" , "The Letters of Robert Louis Stevenson, April 1874-July 1879" ,
 "441525121.txt" , "http://data.open.ac.uk/red/document/444157387-1-459" , "Alfred Lord Tennyson: A Memoir by His Son" ,
 "1492021090.txt" , "http://data.open.ac.uk/red/document/1691559794-2-107" , "The Collected Letters of Thomas and Jane Welsh Carlyle" ,
 "543656440.txt" , "http://data.open.ac.uk/red/document/1674853213-263" , "Orientations" ,
 "1462648469.txt" , "http://data.open.ac.uk/red/document/1713691467-1-424" , "Henry James: Letters" ,
 "507228093.txt" , "http://data.open.ac.uk/red/document/969482042-185-186" , "Extracts from the Diary of a Lover of Literature." ,
 "110904148.txt" , "http://data.open.ac.uk/red/document/0" , 												 ,
 "110904148.txt" , "http://data.open.ac.uk/red/document/0" , 																								 ,
 "110904148.txt" , "http://data.open.ac.uk/red/document/0" , 																 ,
