brass[N],86,99
scarcely[R],86,88
position[N],86,93
director[N],86,92
chance[N],86,90
remind[V],86,87
compare[V],86,90
officer[N],86,101
stuff[N],86,93
nobody[N],86,91
highest[J],86,89
middle[N],86,88
Drury[N],86,102
introduction[N],86,92
british[J],86,96
Christmas[N],86,115
familiar[J],85,86
dress[N],85,95
star[N],85,87
picture[N],85,90
clerk[N],85,97
memorable[J],85,89
nature[N],85,88
belong[V],85,90
march[V],85,94
obtain[V],85,88
sermon[N],84,99
knowledge[N],84,89
speech[N],84,91
discover[V],84,85
accept[V],84,88
guest[N],84,93
dull[J],84,89
August[N],83,88
seat[V],83,92
free[J],83,91
Chicago[N],83,99
suggest[V],83,85
study[N],83,92
Thursday[N],82,89
equally[R],82,85
praise[N],82,86
slowly[R],82,85
money[N],82,98
selection[N],82,87
debut[N],82,89
altogether[R],82,86
poem[N],82,104
travel[V],81,89
chamber[N],81,90
back[N],81,82
occur[V],81,86
skill[N],81,84
affect[V],81,88
train[N],81,100
require[V],81,85
teacher[N],81,89
November[N],81,85
acquaintance[N],81,81
question[N],81,87
encore[N],81,89
explain[V],80,83
declare[V],80,84
admiration[N],80,83
past[J],80,82
program[N],80,89
arrival[N],80,80
fairly[R],80,80
session[N],80,105
College[N],80,86
grace[N],80,85
considerable[J],80,83
triumph[N],79,81
hotel[N],79,89
warm[J],79,80
merely[R],79,80
curtain[N],79,89
mostly[R],79,81
assemble[V],79,82
choral[J],79,83
rare[J],78,81
attempt[V],78,80
winter[N],78,78
gift[N],78,79
conclude[V],78,83
Wednesday[N],78,83
appreciate[V],78,78
ensemble[N],78,86
interpretation[N],78,84
bury[V],78,98
station[N],78,81
fashion[N],78,81
march[N],78,89
interested[J],78,78
celebrate[V],78,81
Smith[N],77,94
tremendous[J],77,78
direct[V],77,82
Tuesday[N],77,81
recently[R],77,80
distance[N],77,80
ballad[N],77,94
apart[R],77,81
beat[N],77,87
military[J],77,86
human[J],77,83
prelude[N],76,90
Peter[N],76,83
nevertheless[R],76,76
unique[J],76,81
December[N],76,78
notice[N],76,81
Princess[N],76,105
someone[N],76,79
build[V],76,80
gramophone[N],76,87
Walter[N],76,94
Rome[N],76,91
detail[N],76,79
huge[J],76,80
folk[N],76,93
Britain[N],76,78
curious[J],76,77
entertain[V],75,76
viola[N],75,96
clock[N],75,84
wireless[J],75,78
early[R],75,75
support[V],75,79
pure[J],75,81
treat[V],75,78
critic[N],75,84
around[R],75,78
thoroughly[R],75,76
fourth[J],75,88
aria[N],75,89
satisfy[V],75,76
cathedral[N],74,85
intend[V],74,75
/pre[N],74,75
ancient[J],74,85
represent[V],74,78
occupy[V],74,78
conclusion[N],74,77
Verdi[N],74,98
admit[V],74,75
shout[V],74,81
trumpet[V],74,87
vast[J],73,73
badly[R],73,75
Stravinsky[N],73,104
request[N],73,75
realize[V],73,77
greet[V],73,79
mere[J],73,77
January[N],73,76
longer[R],73,78
close[J],73,75
operatic[J],73,76
local[J],73,83
inspire[V],73,76
suit[V],73,77
ring[V],73,87
Violin[N],73,81
laugh[V],73,79
step[N],73,90
nervous[J],73,77
blue[J],73,77
drink[V],72,79
immense[J],72,73
finale[N],72,77
well-known[J],72,73
cover[V],72,74
Armstrong[N],72,89
easily[R],72,73
terrible[J],72,76
wonder[N],72,75
insist[V],71,73
numerous[J],71,71
pitch[N],71,81
occasionally[R],71,74
worth[J],71,73
impress[V],71,71
fugue[N],71,85
mood[N],71,75
professional[J],71,72
School[N],71,72
Grand[N],71,76
mouth[N],71,76
quarter[N],71,72
parent[N],71,77
Abbey[N],71,95
bright[J],71,71
cheer[V],70,80
attempt[N],70,76
September[N],70,73
handsome[J],70,71
jump[V],70,74
treat[N],70,71
soldier[N],70,81
sacred[J],70,75
answer[V],70,71
national[J],70,74
fond[J],70,76
shake[V],70,74
Orleans[N],70,92
actor[N],70,80
premiere[N],70,70
influence[N],70,73
retire[V],69,73
last[V],69,70
close[N],69,78
conversation[N],69,72
feature[N],69,72
afford[V],69,70
display[V],69,70
wonderfully[R],69,71
career[N],69,70
quiet[J],69,73
youth[N],69,71
space[N],69,72
incredible[J],68,69
drum[V],68,90
approach[V],68,72
superior[J],68,72
serve[V],68,70
ability[N],68,69
heavy[J],68,70
effective[J],68,73
realise[V],68,72
energy[N],68,69
advantage[N],68,69
smile[V],68,72
Times[N],68,77
somehow[R],68,71
Court[N],68,75
cease[V],67,73
term[N],67,67
surpass[V],67,68
lord[N],67,112
striking[J],67,69
Mahler[N],67,97
priest[N],67,77
little[R],67,67
quickly[R],67,68
amusing[J],67,68
club[N],67,82
psalm[N],67,81
reputation[N],67,70
inspiration[N],67,68
addition[N],67,68
assist[V],66,66
provide[V],66,68
America[N],66,71
garden[N],66,70
suffer[V],66,72
accord[V],66,67
element[N],66,69
humour[N],66,68
impressed[J],66,67
entrance[N],66,70
face[V],66,69
tonight[N],66,67
improvise[V],66,72
dream[N],66,75
ground[N],66,69
experience[V],66,69
laughter[N],66,76
similar[J],65,68
engagement[N],65,69
medium[N],65,2517
female[J],65,69
palace[N],65,77
enormous[J],65,65
dozen[N],65,67
confess[V],65,65
Westminster[N],65,74
Roman[N],65,74
Arthur[N],65,68
personal[J],65,71
gold[N],65,79
scale[N],65,79
achieve[V],65,68
splendidly[R],65,68
unfortunately[R],65,66
baton[N],65,69
rush[V],65,70
remark[N],65,69
South[N],65,72
acquaint[V],65,68
publish[V],64,67
preach[V],64,71
invitation[N],64,67
spot[N],64,68
fair[J],64,68
though[R],64,64
drop[V],64,66
means[N],64,65
clearly[R],64,66
drama[N],64,72
masterpiece[N],64,68
fully[R],64,68
setting[N],63,70
method[N],63,65
sign[N],63,67
history[N],63,64
gather[V],63,65
Concerts[N],63,67
unusual[J],63,65
impressive[J],63,67
action[N],63,66
role[N],63,64
Messiah[N],63,71
distinguished[J],62,64
desire[N],62,65
sensation[N],62,65
suite[N],62,65
settle[V],62,66
glass[N],62,69
regard[V],62,67
violoncello[N],62,69
representation[N],61,63
expectation[N],61,61
Requiem[N],61,72
description[N],61,64
Bridge[N],61,73
sudden[J],61,64
breath[N],61,63
Boston[N],61,76
front[J],61,64
pain[N],61,68
amateur[J],61,63
Ernest[N],61,73
shoulder[N],60,63
delight[V],60,61
Jenny[N],60,102
Debussy[N],60,74
witness[V],60,63
unforgettable[J],60,60
duty[N],60,61
eleven[N],60,65
volume[N],60,64
lively[J],60,60
exception[N],60,62
recitative[N],60,67
field[N],60,69
necessary[J],60,61
hope[N],60,63
horse[N],60,73
attractive[J],60,65
excite[V],60,67
Choir[N],60,62
material[N],60,64
poetry[N],60,65
afraid[J],59,65
command[N],59,59
pour[V],59,61
rarely[R],59,61
rain[N],59,62
extract[N],59,59
Europe[N],59,61
unknown[J],59,59
Philharmonia[N],59,76
condition[N],59,61
select[V],59,63
vocalist[N],59,63
charm[V],59,59
otherwise[R],59,60
harp[N],59,88
capable[J],59,62
lack[V],59,59
exquisitely[R],59,59
technical[J],59,60
empty[J],59,60
totally[R],58,61
choice[N],58,59
attract[V],58,60
Lind[N],58,104
evidently[R],58,60
scenery[N],58,59
village[N],58,65
shortly[R],58,59
precede[V],58,60
develop[V],58,61
cast[N],58,58
thrill[V],58,58
Mass[N],58,69
amuse[V],58,60
Wood[N],58,61
